Porta;Modalidade;Pasta do projeto;Menu principal;Submenu / item;Rota;Observação
5152;Lotofácil;AnalisePorPosicao-Lotofacil-Only;Dados;Sincronização & Sorteios;/;Home + sync
5152;Lotofácil;AnalisePorPosicao-Lotofacil-Only;Dados;Atrasos Posicionais;/analise/atrasos;Só Lotofácil
5152;Lotofácil;AnalisePorPosicao-Lotofacil-Only;Análise;Sniper por Posição;/analise/atrasos;Rank vertical P1–P15
5152;Lotofácil;AnalisePorPosicao-Lotofacil-Only;Análise;Central de Modelos (5 MODELOS);/modelos/;
5152;Lotofácil;AnalisePorPosicao-Lotofacil-Only;Análise;Backtesting Histórico;/modelos/#pane-bt;Âncora na página modelos
5152;Lotofácil;AnalisePorPosicao-Lotofacil-Only;—;Conferência Histórica;/central-conferencias/;Link direto
5152;Lotofácil;AnalisePorPosicao-Lotofacil-Only;—;Painel Geral;/?painel=1;Query painel=1
5152;Lotofácil;AnalisePorPosicao-Lotofacil-Only;Geradores de Elite;Engine Final;/geradores-elite/engine-final/;
5160;Super Sete;AnalisePorPosicao-SuperSete-Only;Dados;Sincronização & Sorteios;/;
5160;Super Sete;AnalisePorPosicao-SuperSete-Only;Dados;Análise por Coluna;/analise/;Freq/atraso C1–C7
5160;Super Sete;AnalisePorPosicao-SuperSete-Only;Dados;Repetição de Dígitos;/analise/#repeticoes;Âncora na mesma página
5160;Super Sete;AnalisePorPosicao-SuperSete-Only;Análise;Sniper por Colunas;/analise/;
5160;Super Sete;AnalisePorPosicao-SuperSete-Only;Análise;Central de Modelos (6 MODELOS);/modelos/;
5160;Super Sete;AnalisePorPosicao-SuperSete-Only;Análise;Backtesting Histórico;/modelos/;
5160;Super Sete;AnalisePorPosicao-SuperSete-Only;—;Conferência Histórica;/central-conferencias/;
5160;Super Sete;AnalisePorPosicao-SuperSete-Only;—;Painel Geral;/;
5160;Super Sete;AnalisePorPosicao-SuperSete-Only;Geradores de Elite;Engine Final;/geradores-elite/engine-final/;
5154;Lotomania;AnalisePorPosicao-Lotomania-Only;Dados;Sincronização & Sorteios;/;
5154;Lotomania;AnalisePorPosicao-Lotomania-Only;Dados;Análise Estatística;/analise/;
5154;Lotomania;AnalisePorPosicao-Lotomania-Only;Análise;Sniper por Dezenas;/analise/;
5154;Lotomania;AnalisePorPosicao-Lotomania-Only;Análise;Central de Modelos (6 MODELOS);/modelos/;
5154;Lotomania;AnalisePorPosicao-Lotomania-Only;Análise;Backtesting Histórico;/modelos/;
5154;Lotomania;AnalisePorPosicao-Lotomania-Only;—;Conferência;/central-conferencias/;
5154;Lotomania;AnalisePorPosicao-Lotomania-Only;—;Painel Geral;/;
5154;Lotomania;AnalisePorPosicao-Lotomania-Only;Geradores de Elite;Engine Final;/geradores-elite/engine-final/;
5155;Quina;AnalisePorPosicao-Quina-Only;Dados;Sincronização & Sorteios;/;
5155;Quina;AnalisePorPosicao-Quina-Only;Dados;Análise Estatística;/analise/;
5155;Quina;AnalisePorPosicao-Quina-Only;Análise;Sniper por Dezenas;/analise/;
5155;Quina;AnalisePorPosicao-Quina-Only;Análise;Central de Modelos (6 MODELOS);/modelos/;
5155;Quina;AnalisePorPosicao-Quina-Only;Análise;Backtesting Histórico;/modelos/;
5155;Quina;AnalisePorPosicao-Quina-Only;—;Conferência;/central-conferencias/;
5155;Quina;AnalisePorPosicao-Quina-Only;—;Painel Geral;/;
5155;Quina;AnalisePorPosicao-Quina-Only;Geradores de Elite;Engine Final;/geradores-elite/engine-final/;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Dados;Sincronização & Sorteios;/;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Dados;Análise Estatística;/analise/;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Análise;Sniper por Dezenas;/analise/;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Análise;Central de Modelos (6 MODELOS);/modelos/;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Análise;Backtesting Histórico;/modelos/;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Desdobramentos;Des1 — Desdobramento Inteligente;/desdobramento/;Só Mega
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Desdobramentos;Des2 — Desdobramento Estrutural;/des2/;Só Mega
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Central de Conferências;Conferência Histórica;/central-conferencias/#historico;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Central de Conferências;Conversor de Apostas;/central-conferencias/#conversor;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Central de Conferências;Concursos Disponíveis;/central-conferencias/#concursos;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;—;Painel Geral;/;
5156;Mega-Sena;AnalisePorPosicao-MegaSena-Only;Geradores de Elite;Engine Final;/geradores-elite/engine-final/;
5157;+Milionária;AnalisePorPosicao-MaisMilionaria-Only;Dados;Sincronização & Sorteios;/;
5157;+Milionária;AnalisePorPosicao-MaisMilionaria-Only;Dados;Análise Estatística;/analise/;Dezenas + trevos
5157;+Milionária;AnalisePorPosicao-MaisMilionaria-Only;Análise;Sniper por Dezenas + Trevo;/analise/;
5157;+Milionária;AnalisePorPosicao-MaisMilionaria-Only;Análise;Central de Modelos (6 MODELOS);/modelos/;
5157;+Milionária;AnalisePorPosicao-MaisMilionaria-Only;Análise;Backtesting Histórico;/modelos/;
5157;+Milionária;AnalisePorPosicao-MaisMilionaria-Only;Desdobramento;Desdobramento Inteligente;/desdobramento/;Submenu
5157;+Milionária;AnalisePorPosicao-MaisMilionaria-Only;—;Conferência;/central-conferencias/;
5157;+Milionária;AnalisePorPosicao-MaisMilionaria-Only;—;Painel Geral;/;
5157;+Milionária;AnalisePorPosicao-MaisMilionaria-Only;Geradores de Elite;Engine Final;/geradores-elite/engine-final/;
5158;Dupla Sena;AnalisePorPosicao-DuplaSena-Only;Dados;Sincronização & Sorteios;/;
5158;Dupla Sena;AnalisePorPosicao-DuplaSena-Only;Dados;Análise Estatística;/analise/;
5158;Dupla Sena;AnalisePorPosicao-DuplaSena-Only;Análise;Sniper por Dezenas;/analise/;
5158;Dupla Sena;AnalisePorPosicao-DuplaSena-Only;Análise;Central de Modelos (6 MODELOS);/modelos/;
5158;Dupla Sena;AnalisePorPosicao-DuplaSena-Only;Análise;Backtesting · Prêmio Duplo;/modelos/;
5158;Dupla Sena;AnalisePorPosicao-DuplaSena-Only;—;Desdobramento;/desdobramento/;Link direto
5158;Dupla Sena;AnalisePorPosicao-DuplaSena-Only;—;Conferência;/central-conferencias/;
5158;Dupla Sena;AnalisePorPosicao-DuplaSena-Only;—;Painel;/;
5158;Dupla Sena;AnalisePorPosicao-DuplaSena-Only;Geradores de Elite;Engine Final;/geradores-elite/engine-final/;
5159;Timemania;AnalisePorPosicao-Timemania-Only;Dados;Sincronização;/;Dezenas + time
5159;Timemania;AnalisePorPosicao-Timemania-Only;Dados;Análise Estatística;/analise/;
5159;Timemania;AnalisePorPosicao-Timemania-Only;Análise;Sniper por Dezenas + Timemania;/analise/;
5159;Timemania;AnalisePorPosicao-Timemania-Only;Análise;Ranking de Times;/analise/;Mesma rota /analise/
5159;Timemania;AnalisePorPosicao-Timemania-Only;Análise;Central de Modelos (6);/modelos/;
5159;Timemania;AnalisePorPosicao-Timemania-Only;Análise;Backtesting · 8 prêmios;/modelos/;
5159;Timemania;AnalisePorPosicao-Timemania-Only;—;Conferência;/central-conferencias/;
5159;Timemania;AnalisePorPosicao-Timemania-Only;—;Painel;/;
5159;Timemania;AnalisePorPosicao-Timemania-Only;Geradores de Elite;Engine Final;/geradores-elite/engine-final/;
5153;Dia de Sorte;AnalisePorPosicao--DiaDeSorte-Only;Dados;Sincronização;/;
5153;Dia de Sorte;AnalisePorPosicao--DiaDeSorte-Only;Dados;Análise Estatística;/analise/;
5153;Dia de Sorte;AnalisePorPosicao--DiaDeSorte-Only;Análise;Sniper por Dezenas + Mês da Sorte;/analise/;
5153;Dia de Sorte;AnalisePorPosicao--DiaDeSorte-Only;Análise;Central de Modelos (6);/modelos/;
